TITLE,NODE ID,impact_areas
Roundhouse Revival,20194,"Placemaking,Neighbors working together,Environment"
Bus Stop Seats for Memphis Riders,20200,"Safer streets,Environment"
Digital-Rock Breakdancing (Bboy) Event,20204,"Neighbors working together,Environment"
Chris Bell Mural,20206,"Public Art,Environment"
DORK - A free venue for music and art,20210,"Public Art,Neighbors working together,Environment"
The Sanctuary on the Lawn at Caritas Village,20217,"food,Placemaking,Social Justice,Environment"
Freshest Market on the Block,20219,"food,Placemaking,Environment"
Free Little Library for Cooper Young,20236,"Neighbors working together,Sharing,Environment"
Madison Beautiful,20245,Environment
Levitt Shell's Community Arts Project,20251,"Public Art,Neighbors working together,Environment"
Never Leaf Home,20250,Environment
Movie Nights at the Community Garden!,20255,"Placemaking,Neighbors working together,Environment"
Idlewild Elementary Community Garden,20378,"food,Schools,Environment"
Richards House-Estival Park Revival,20380,"Neighbors working together,Environment"
The Johnny Cash Memphis Legacy,23547,"Public Art,Environment"
New Backboards at Pierotti Park,23838,"Public Health,Social Justice,Environment"
Roundhouse Revival 2,26992,"Placemaking,Social Justice"
Revolutions Bicycle Ambassadors at Peabody Elementary School,27436,"Safer streets,Public Health,Social Justice,Schools,Environment"
Carnes School Learning Garden,12053,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
Alabama Street Tapestry Project,20221,"Public Art,Environment"
Bus Stop Love,15904,"Safer streets,Public Art,Placemaking,Social Justice,Neighbors working together,Environment"
I LOVE Soulsville Rock/Art Garden,20256,"Public Art,Environment"
Lauderdale Subdivision Community Garden,20278,"food,Environment"
Legacy Memphis Johnny Cash Statue & Historic Marker,26843,Placemaking
iPads for Afterschool Learning in Vollintine Evergreen,11804,"Social Justice,Neighbors working together,Schools"
A Better You,12060,"Public Health,Social Justice,Neighbors working together"
Kids Kreative Kooking Klub,15912,"food,Public Health,Social Justice,Schools,Environment"
VENS Playground,20199,"Placemaking,Environment"
VECA / Vollintine Evergreen (V&E) National Historic District Signage campaign,20201,"Placemaking,Neighbors working together,Environment"
Furnish helmets to young bicyclists,20220,"Safer streets,Environment"
Signage along the Chelsea Avenue Greenline,20233,"Placemaking,Environment"
Headshots: a mural by NJ Woods,20238,"Public Art,Environment"
Barksdale-Auburndale Mobile Bocce Club,20252,
Growing a Healthier Memphis: New Community Garden Campaign,20267,"food,Environment"
KIPP Memphis Academy Middle - Urban Gardening Club,20163,"Schools,Environment"
Paint Memphis,23842,"Public Art,Neighbors working together,Environment"
Growing Springdale,27478,"food,Public Health,Social Justice"
The Hampline,10029,"Safer streets,TU,Social Justice,Neighbors working together,Environment"
2014 New Garden Campaign,12086,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Send the JUMP CLUB to SUMMER CAMP,13498,"Public Health,Schools"
Poplar Park Neighborhood Cookout,20237,"Neighbors working together,Environment"
Sherwood Forest Gateways,20344,"Placemaking,Environment"
Johnny Appleseed on Boston Street,20374,"Placemaking,Environment"
Casey Jones at Boston St. Station,20375,"Placemaking,Environment"
Bring Back Bats & Birds to Buntyn!,20413,"Public Health,Environment"
UD Safe&Sound,28075,Social Justice
Evergreen Rain Garden,12390,"Placemaking,Neighbors working together,Environment"
Crosswalk Flags,12644,"Safer streets,TU"
Wishes for Williamson,14465,"Placemaking,TU,Neighbors working together,Environment"
ACT UP,18880,"Schools,Environment"
Carpenter Street Community Vegetable Garden,18920,"food,Schools,Environment"
Snowden School Greenspace Improvements,19477,"Placemaking,Schools,Environment"
Carpenter Art Garden Summer Programs,20196,"food,Schools,Environment"
Support for a Food Policy Coordinator,20202,"food,Public Health,Environment"
Beekeeping made easy: A revolution in beekeeping!,20205,"food,Social Justice,Environment"
Snowden Playground Renovation,20230,"Placemaking,Neighbors working together,Environment"
Mosaic Art - Lester Community Center Stairs,20244,"Public Art,Neighbors working together,Environment"
Trinity Playground Revitalization,20258,"Placemaking,Environment"
Coming Together: A Step Closer,27054,"food,Public Health,Social Justice,Neighbors working together,Environment"
Williamson Park Trees and Beautification,27367,"Public Health,Environment"
Monarch Waystations and Environmental Education in Binghampton,27535,"Schools,Environment"
We Are Family Neighborhood Center,13500,"Public Health,Placemaking,Social Justice,Neighbors working together"
PAINT LAMAR AVE.,#N/A,"Public Art,Placemaking,Environment"
Bringing Sunflowers to Orange Mound,15004,"food,Public Health,Social Justice,Neighbors working together,Environment"
Nurturing Nutritional Needs in Our Neighborhood,#N/A,"food,Public Health,Social Justice,Neighbors working together,Environment"
Orange Mound Summer Sports Fun,20176,"Schools,Environment"
A Clean Orange Mound,20191,"Schools,Environment"
RZOM Wall Mural,20216,"Public Art,Environment"
Altown DIY Skatepark ´è_ ´è_,#N/A,"Placemaking,Neighbors working together,Environment"
The McLemore Rembert Block Club,20234,"Neighbors working together,Environment"
Blue Stallion Entertainment/The Center for Creations,20239,"Neighbors working together,Environment"
"""Incarcerated to Indomitable""",20283,"Social Justice,Environment"
Transforming communities through international education!,27176,"Social Justice,Schools"
Let's Innovate through Education,20180,"Schools,Environment"
GMPA MayFest: Family and Friends,20254,"Neighbors working together,Environment"
Roots Memphis Farm Academy,8122,"food,Placemaking,Social Justice,Neighbors working together,Environment"
Shelby Farms Greenline: Perkins Access,20246,"Placemaking,Environment"
Perkins to Greenline Access Project,27178,"Neighbors working together,Environment"
NeighborScape Demonstration Garden,20183,"Neighbors working together,Environment"
Community Radio Station Launch,20235,"Neighbors working together,Environment"
Little Free (Children's) Library at Richbriar,13649,"Placemaking,TU,Neighbors working together"
Summer Meadows Little Free Library,13708,"Placemaking,TU,Neighbors working together"
Little Free Libraries for 1 to 3 year old children,13960,"Placemaking,TU,Neighbors working together,Environment"
Sister Supply,20213,"Public Health,Social Justice,Environment"
Shelby Farms BMX Improvements Phase 1,20227,"Placemaking,Neighbors working together,Environment"
Neighborhood History Project Š—– Highland Heights,#N/A,"Social Justice,Neighbors working together,Schools"
Neighborhood History Project - South Memphis,12084,"Social Justice,Neighbors working together,Schools"
Green Machine Food Cooperative,12474,"food,Public Health,Social Justice,Neighbors working together,Sharing"
Tools for Soulsville's Urban Forest & Community Garden,13081,"food,Public Health,Social Justice,Environment"
"First Baptist Church, Lauderdale",20243,"Neighbors working together,Environment"
Green Leaf Mural Project,27256,"Public Art,Social Justice,Schools"
The Whitney Elementary School Sustainability Project,12058,"Public Health,Social Justice,Schools,Environment"
Urban Forest Boardwalks & Bridges,18855,"Safer streets,Public Health,Placemaking,Neighbors working together,Schools,Environment"
Ridgecrest Little Free Library,20222,"Sharing,Schools,Environment"
Girls Inc. Youth Farm,20228,"food,Social Justice,Schools,Environment"
Project Helping Hands,20253,"Schools,Environment"
Rangeline After School Program,20381,"Schools,Environment"
BANDAIDS FOR KIDS,20385,"Schools,Environment"
Drive Literacy Memphis,23844,"Schools,Environment"
A Christmas Story,27892,"Social Justice,Sharing"
Refinery Flare Monitoring,11958,"Social Justice,Neighbors working together,Environment,Citizen Science"
Wynwood Paint and Skate Pop-up Park,9642,"Safer streets,Public Health,Public Art,Placemaking,TU,Social Justice"
Miami Youth Garden Leadership Development Program,13705,"food,Public Health,Placemaking,Social Justice,Environment"
Urban Playscape,10684,"Public Health,Public Art,Placemaking"
I AM MIA (Miami in Action),11814,"Public Art,Placemaking,Neighbors working together"
Active Stairs,17180,"Public Health,Placemaking,Environment"
You and I are Love,9562,"Public Art,Social Justice"
Lot 11 Skate Plaza,20084,"Placemaking,Environment"
Drawbridge Projections: Thoughts on Water,26740,
Little Havana Moves,8079,"Safer streets,Public Health,Placemaking,TU,Social Justice"
Shades of Miami,10742,"Public Art,Placemaking,Environment"
Our Biscayne,11084,"food,Public Health,Public Art,Placemaking,Social Justice,Environment"
Water Bottle Refill Stations in Parks,13725,Environment
Sound Garden @ Bayfront Park,13886,"Public Art,Placemaking,Environment"
Bay Skate Miami,17248,"Safer streets,Public Health,Placemaking,Environment"
GrooveMiami,26104,
Metromover Parkway,26158,
Top Them Off,27049,
"Floral Fantasies, Real and Imagined",11950,"Public Art,Placemaking"
Health in the Hood Urban Gardens and Physical Fitness Classes,8466,"food,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
Community Gardening | Permaculture Awareness,8062,"food,Placemaking,Social Justice,Neighbors working together,Environment"
Chalked Up Miami Pilot,10751,"Public Art,Placemaking,Neighbors working together"
Chalked Up Miami,10758,"Public Art,Placemaking,Neighbors working together"
Youth Leaders Board,21485,"Social Justice,Environment"
GREENLIGHTS,14301,"Safer streets,Public Art,Neighbors working together,Environment"
La Paloma Garden Walk,16063,"food,Safer streets,Public Health,Placemaking,Neighbors working together,Environment"
Fitness Zone Suitable for Individuals with Disabilities,10704,"Public Health,Social Justice"
KeŠ—ÈAra Food Collective Mobile Harvest Market,#N/A,"food,Social Justice,Sharing"
M-Path Park Project,9982,"Safer streets,Placemaking,Social Justice,Neighbors working together,Environment"
The Bunche Park P.R.O.J.E.C.T.,26704,
Connect 53212,#N/A,"Safer streets,Environment"
Minneapolis Toy Library,#N/A,"Social Justice,Sharing,Environment"
Minneapolis Toy Library 2015,23663,"Sharing,Environment"
SkateFest St-Augustin,14569,"Social Justice,Environment"
Guerrilla Gardening,21542,"food,Public Health,Environment"
Pumpipumpe MTL,14346,"Neighbors working together,Sharing,Environment"
Le r’éve ’¾ Simon ! Simon's dream !,14362,Environment
Space-EX,14382,"food,Public Health,Placemaking,Neighbors working together,Environment"
Made in Montreal,14467,"Public Art,Environment"
Ruelle verte Fabre Marquette B’©langer Jean-Talon,14336,"food,Public Health,Placemaking,Neighbors working together,Environment"
Campolindo Compost & Recycling Program,7492,"food,Public Health,Neighbors working together,Schools,Environment"
From the Ground Up,18979,"food,Schools,Environment"
Green Unity,27190,"Public Art,Placemaking,Social Justice,Schools,Environment"
Electric Car,2060,Environment
Mushing For Bristol Bay,11812,Environment
Musicians United Across the Generations,#N/A,
Veterans Employment Base Camp and Organic Garden,5691,"food,Placemaking,Social Justice,Environment"
"Youth Bicycle ""Spokesperson"" Mentorship",11893,"Safer streets,Social Justice"
Freret / Uptown Tool Lending Library,14384,"food,Public Health,Social Justice,Neighbors working together,Sharing,Environment"
Connect the 9,7889,"Safer streets,Placemaking,Social Justice,Neighbors working together"
Let the Pigeon Drive the Bus!,19242,"Social Justice,Neighbors working together,Schools,Environment"
New Orleans Kids Partnership Backbone Fund Campaign,13267,"Social Justice,Schools"
Bikes for Kids!,16163,"Safer streets,Social Justice,Schools,Environment"
NOLA TimeBank Neighborhood Expansion,9597,"Social Justice,Sharing"
Drums Along the Hudson Environmental Education Tent,236,Environment
Pedal Powered Bicycle Blenders at P.S. 33,3471,"food,Schools,Environment"
"""It's My Park! Day"" on the Allen & Pike Street Malls",605,"Safer streets,Social Justice,Neighbors working together,Environment"
"Celebrating the P.S. 134 Outdoor Classroom, June 16th",618,"food,Social Justice,Schools,Environment"
It's My Park! Day at Sara D. Roosevelt Park,787,"Safer streets,Public Health,Social Justice,Neighbors working together,Environment"
WE Bike- Women's Empowerment through Bicycles!,3361,"Safer streets,Social Justice"
Local Spokes Youth Ambassadors Need Your Help!,9055,"Safer streets,Public Health,Social Justice,Schools"
Corlears Hook Park Entryway Beautification,23707,"Placemaking,Neighbors working together,Environment"
Climate Friendly Gardeners,1468,"food,Social Justice,Neighbors working together,Environment,Citizen Science"
TO STAY: A campaign to reduce our dependence on disposables,3276,"Social Justice,Environment"
Watershed,3280,"Public Art,Social Justice,Environment"
Students Under the Stars,18561,"Social Justice,Neighbors working together,Schools,Environment"
Island Compost,352,Environment
EARTH (a play about people),13924,"Public Art,Environment"
ALL CITY ACRES,3522,"food,Placemaking,Social Justice,Neighbors working together,Environment"
Children's Organic Food Patch Workshops,290,"food,Public Health,Social Justice,Schools,Environment"
Meetup with Green Map this Summer!,615,"Neighbors working together,Environment"
All People's Garden,768,"food,Environment"
Less = More Green Map of NYC,3285,Environment
Green Breakfast Club,3504,Environment
Time's Up! Archiving History Project,5742,"Social Justice,Environment"
La Plaza Cultural - Spring Volunteer Day!,23653,"Neighbors working together,Environment"
Solar-Powered Film Series presented with Solar One,776,"Placemaking,Environment"
Chelsea Street Tree Signage Exhibit,620,Environment
PS 11 Garden,769,"food,Social Justice,Environment"
PS 11 Farm Market,767,"food,Social Justice,Environment"
PS11 Garden 2012 Spring Planting,2364,"food,Social Justice,Schools,Environment"
PS 11 Chicken Coop,3227,"food,Social Justice,Schools,Environment"
Urban Seed Library,3262,"food,Public Health,Environment"
Plastic Bag Dropoff,3273,"Social Justice,Environment"
Washington Square Park Ecology,10091,"Social Justice,Environment,Citizen Science"
Pumpkin Composting,15102,"food,Public Health,Environment"
MAKE ASAP OFFICIAL FOR 2015!,17322,"Public Art,Social Justice,Environment"
Forget the Bag! Rewards Program,3272,"Social Justice,Environment"
Father Fagan Flower Fund!,27540,"Placemaking,Neighbors working together,Environment"
Beautify Lower Madison Avenue Neighborhood,2353,"Neighbors working together,Environment"
Protect Street Trees on Lower Madison Avenue: Tree Guard Project,2377,Environment
Kips Bay Public Plaza,8049,"Safer streets,Placemaking,TU,Neighbors working together"
Help Network,18685,"Social Justice,Environment"
Bailey-Holt House/Horticultural Society of New York garden project,243,"food,Public Health,Social Justice,Neighbors working together,Environment"
Shade Garden at DeWitt Clinton Park,774,"food,Placemaking,Social Justice,Neighbors working together,Environment"
Rooftop Aquaponic Greenhouse Lab,10338,"food,Public Health,Social Justice,Schools,Environment"
Green Is The Word,3366,Environment
The Terrace at Macaulay Honors,643,"Schools,Environment"
Efflorescence for Septuagesimo Uno,1507,"Placemaking,Social Justice,Neighbors working together,Environment"
Seedball School Garden,20343,"food,Schools,Environment"
West 95th Street Residents Association Tree Project,781,"Placemaking,Environment"
West 95th St Tree Project Part 2,1755,"Placemaking,Neighbors working together,Environment"
Stryker Park,8416,"Placemaking,Social Justice,Neighbors working together,Environment"
Urban Roots Science Garden,10633,"food,Public Health,Schools,Environment"
Prenatal Belly Dance Workshop,2261,"Public Health,Social Justice,Environment"
Prenatal Belly Dance in Harlem,3332,"Public Health,Social Justice,Neighbors working together"
Lakshmi Community Garden Project,5529,"food,Public Health,Social Justice,Environment"
Belly Dance Class for Pregnant Moms in Harlem,5559,"Public Health,Social Justice"
Turning a Classroom into a Garden,5735,"food,Social Justice,Schools,Environment"
St. Nicholas Miracle Garden,8123,"food,Placemaking,Social Justice,Neighbors working together,Environment"
The New 123rd Street Community Garden,8733,"food,Placemaking,Social Justice,Neighbors working together,Environment"
Mojdeh Baratloo Urban Urge Awards,9367,"Safer streets,TU,Social Justice"
Saint Nicholas Miracle Garden - 2014 Garden Improvements + Hydroponic Growing System,#N/A,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Diatize,12056,"food,Public Health,Social Justice"
Greener Lenox,12808,"Social Justice,Neighbors working together,Environment"
Game Night!,13477,"Placemaking,Neighbors working together"
TAKE THIS X: The OAAU @ 50,18622,"Placemaking,Social Justice,Environment"
School Garden Chicken Project!,27783,
Turtle Pond Wall at the Eric Dutt Eco Center,10599,"Schools,Environment"
A Rainbow Garden at Mad Fun Farm,240,"food,Public Health,Social Justice,Schools,Environment"
Vito Marcantonio Community Peace Garden,10542,"food,Public Health,Placemaking,Social Justice,Schools,Environment"
Park East Green Team of Engineers,10658,"Social Justice,Schools,Environment"
A Workshop for the Community,15696,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
ChenchitaŠ—Ès Community Garden FarmerŠ—Ès Market,#N/A,"food,Safer streets,TU,Sharing,Environment,Citizen Science"
135th Street Beautification Project,657,"Placemaking,Environment"
Proyecto de Embellecimiento 137th Street Beautification Project,624,"Social Justice,Neighbors working together,Environment"
137th Street Beautification Project,2108,"Safer streets,Public Health,Neighbors working together,Environment"
West 144th Street Block Association,3152,"Social Justice,Neighbors working together,Environment"
Summer 2015 Empowerment Fairs,23368,"Safer streets,Placemaking,Social Justice,Neighbors working together,Environment"
Hike the Heights 2011,349,"food,Safer streets,Public Health,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
Hike the Heights 2012,2288,"food,Safer streets,Public Health,Public Art,Placemaking,Social Justice,Neighbors working together,Environment"
Hike the Heights 2013,7906,"food,Safer streets,Public Health,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
Hike the Heights,12324,"Public Health,Public Art,Placemaking,Neighbors working together,Environment"
Interpreters Without Borders,2224,
H.E.A.L.T.H for Youths Outdoor Art Event,13536,"Public Health,Public Art,Social Justice,Neighbors working together"
M.O.R.E. - the (M)edia (O)ut (R)each (E)ffort - Bringing eco-critical information to all,#N/A,"Social Justice,Schools,Environment"
Abraham Lincoln Seniors Glory Gardens,608,"food,Public Health,Social Justice,Neighbors working together,Environment"
GreenDay 2012,3423,"Social Justice,Environment"
Peck Slip Plaza,13380,"Safer streets,Placemaking"
/,#N/A,"Schools,Environment,Citizen Science"
Windowfarming at 20th Street!,7847,"food,Placemaking,Social Justice,Environment"
Growing on Governors Island,348,"food,Placemaking,Schools,Environment"
PS11 Garden 2014 Spring Planting,12481,"food,Public Health,Schools,Environment"
Hike The Heights,12324,"food,Safer streets,Public Health,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
Farm to Table and Then Some,8512,"food,Placemaking,Neighbors working together,Environment"
Putting Crossing Guards on the Map,9274,"Safer streets,Public Health,Public Art,Social Justice"
SWAG Project,7372,"food,Public Health,Social Justice,Environment"
SWAG Project,7372,"food,Public Health,Social Justice,Neighbors working together,Schools,Environment"
Growing our School Garden in the South Ward of Newark,27182,"food,Public Health,Placemaking,Social Justice,Schools,Environment"
Help Us Be Better!,#N/A,"food,Placemaking,Social Justice,Environment"
Black Belt Bamboost Builds a Park,5495,"Placemaking,Social Justice,Environment"
San Fernando Valley Rescue Mission Rescue SOS Mobile Shower,27449,
2014 Connecticut Tree Festival,11891, Environment
Gardening in the Classroom,8472,"food,Placemaking,Neighbors working together,Schools,Environment,Citizen Science"
Recyclers' Urban Farm,2307,"food,Placemaking,Social Justice,Neighbors working together,Environment"
"Build, Share, Grow: National Summit 2014",15577,"Public Health,Social Justice,Schools,Environment"
The Most Fabulous Green Wall Ever Built,5737,"Public Art,Placemaking,Social Justice,Environment"
"Feeding the 5,000: Oakland",#N/A,"food,Public Health,Social Justice,Environment"
Apples to Kids: Westminster Woods,5743,"food,Public Health,Social Justice,Environment"
"Baby, It's Cold Inside the Prince George's Green Hub!",#N/A,"Social Justice,Neighbors working together,Environment"
Pali's Compost For Change,18976,"food,Schools,Environment"
PLAY- Petaluma Loves Active Youth,8394,"Safer streets,Public Health,Social Justice,Neighbors working together"
NW Philly Repair Cafe,14365,"Safer streets,Public Health,Environment"
Haddington Food Coop,5722,"food,Public Health"
Philadelphia's Mill Creek Urban Farm,3237,"food,Placemaking,Social Justice,Neighbors working together,Environment"
PRC Grant Park Community Garden,7836,"food,Placemaking,Social Justice,Neighbors working together,Sharing,Environment"
Phoenix Tool Shed,9567,"food,Placemaking,Social Justice,Neighbors working together,Environment"
The Unity Concert 2014,14038,"Public Art,Social Justice,Environment"
Neighborhoods in the Wings,23730,"Neighbors working together,Environment"
Children's Discovery Garden Campaign,12505,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Homewood Agricultural Project,3242,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Deutschtown City Steps Mosaic Mural,23520,"Public Art,Environment"
Giant Puppet Dance Club,23713,"Public Health,Public Art,Environment"
Biggs Hillside Garden,23566,"Placemaking,Environment"
Perry Hilltop (Perry South) Gateway Beautification Project,23652,"Placemaking,Environment"
Green First in the 'Burgh,12382,"Neighbors working together,Environment"
Mary Cassatt Garden,23777,"Placemaking,Environment"
Put the People in the Picture: Barataria Wetlands Co-Monitoring,11963,"Social Justice,Neighbors working together,Environment,Citizen Science"
Bringing People Together to Save Endangered Salmon,3532,"food,Environment"
Re-Energizing Gateway,7899,"Placemaking,Neighbors working together,Environment"
Bee Safe,19871,"food,Public Health,Schools,Environment"
Elm benches for Marquand Park,27084,
Queens County Farm Compost Project,1278,"food,Public Health,Social Justice,Neighbors working together,Environment"
Queens Farm Composters,2345,"food,Neighbors working together,Environment"
Bags for the People 3-Day Bag Making Workshops at Growing Up Green Charter School,#N/A,"Social Justice,Schools,Environment"
Food for Thought,635,"food,Social Justice,Environment"
Free Wi-Fi at Corona Plaza!,19892,"Placemaking,Neighbors working together,Environment"
"Let's Talk Trash, Beyond the Can",691,"Placemaking,Social Justice,Neighbors working together,Environment"
Composting in Western Queens,3349,"food,Public Health,Social Justice,Environment"
Used Cell Phone Recycling Collection,646,Environment
Emerald Awards,298,"Placemaking,Environment"
Queens Daffodil Project Bulb Distribution,772,Environment
UA machine,8790,"food,Placemaking,Neighbors working together,Environment"
Bike advocacy Petcha Kucha based on best presentations of the National Bike Summit!,#N/A,"Safer streets,Social Justice"
Walk [Raleigh] with Exploris School,13008,"Safer streets,Public Health,TU,Schools"
Year End Campaign,27935,
Powell Magnet Elementary School Garden/Outdoor Classroom,5220,"food,Public Health,Schools,Environment"
The QueensWay: Next Step,10180,"Placemaking,Social Justice,Environment"
Texas Beach Cleanup and Board Giveaway,12438,Environment
Water Water Everywhere,12690,"food,Public Health,Neighbors working together,Environment"
Powhite Park Trail Bridge,12659,"Neighbors working together,Environment"
Purchase and install a bike repair stand at the Belle Isle Skills Area,18524,"Safer streets,Sharing,Environment"
Taking Liberty,#N/A,Environment
Ewen Park Dog Run Revitalization and Safety Project - PART 1,1778,"Public Health,Placemaking,Neighbors working together,Environment"
A Sustainable Sunken Garden for Browns Race,7796,"Placemaking,Social Justice,Neighbors working together,Environment"
Rockaway Rain Reuse System,773,"food,Safer streets,Public Health,Placemaking,Social Justice,Neighbors working together"
Queens Bike Bonanza & Rockaway Bike Parade,628,"Safer streets,Public Health,Placemaking,TU,Social Justice"
Rockaway Resource Recovery Compost Garden,2310,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
smallwater Community Center and Garden,8849,"food,Placemaking,Social Justice,Neighbors working together,Environment"
The Rockville Bike Hub - Mobile Shop,19903,"Safer streets,Neighbors working together,Sharing,Environment"
Vietnam Monument @ Cornucopia Plaza Cleanup,653,"Placemaking,Social Justice,Neighbors working together,Environment"
Veterans Square Beautification Project,652,"Placemaking,Neighbors working together,Environment"
Beautification and Greening of Veterans Square,3204,"Social Justice,Neighbors working together,Environment"
Run Walk Today,27528,"Public Health,Environment"
"Eat, Compost, Grow, Repeat",18741,"food,Schools,Environment"
"ioby City's Fair Urban Innovation Lab - CNU21, SLC",8643,TU
H.A.C.E.R Project at Gilliam Family Community Gathering Place,26592,
"""PUEBLOTE""-Transforming Underutilized Public Lots Into Public Benefits",3240,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Rain Catchment System,18929,"food,Schools,Environment"
Creating Schools Where LGBTQQ Youth Can Thrive!,7886,"Social Justice,Neighbors working together,Schools"
Homeslice Compost,15917,"food,Public Health,Social Justice,Neighbors working together,Schools,Environment"
Wind Energy Power!,18963,"Neighbors working together,Schools,Environment"
BikePool - Enjoy Safety and Fun in Numbers!,18651,"Safer streets,Neighbors working together,Environment"
Bye Bye Basura,7379,"Social Justice,Schools,Environment,Citizen Science"
Marin School of Environmental Leadership,5704,"Social Justice,Schools,Environment"
Young Activists Project,5384,"Social Justice,Environment"
Sound Reader Free Libraries,#N/A,"Safer streets,Placemaking,TU,Environment"
Bicycle Stories,18253,"Safer streets,Social Justice,Schools,Environment"
Clean Greens Market Seasonal Opening,5324,"food,Public Health,Social Justice"
Interfaith Sustainable Food Collaborative Launch,5766,"food,Public Health,Social Justice,Neighbors working together,Environment"
Parts and Crafts at Somerville Public Schools,11940,"Social Justice,Schools,Environment,Citizen Science"
Mystic River Open Water,11964,"Neighbors working together,Environment,Citizen Science"
LINC Foods Refrigerated Truck,14315,"food,Public Health,Social Justice,Neighbors working together,Sharing,Environment"
Corbin Hill Farm Trip!,9293,"food,Placemaking,Neighbors working together,Environment"
Restoration of Springfield Gardens Park,631,"Placemaking,Social Justice,Neighbors working together,Environment"
It's My Park Day at Veterans Square,786,"Safer streets,Public Health,Social Justice,Neighbors working together,Environment"
Queens Citizen Tree Pruner and Tree Restoration Project,771,"Public Health,Environment"
Ink and Toner Recycling Program,351,Environment
Battery Recycling,245,"Social Justice,Environment"
Street Trees Need HELP,2244,"Placemaking,Social Justice,Neighbors working together,Environment"
"The GOOD, the BAD and the UGLY",3226,"Social Justice,Environment"
Emerald Awards 2012,5718,Environment
St. Johns County Bike Route Map,18675,"Safer streets,Environment"
The Cowry Collective Timebank,14372,"food,Public Health,Social Justice,Neighbors working together,Sharing,Environment"
5th Annual St George Day Festival,606,"Safer streets,Public Health,Public Art,Social Justice,Neighbors working together,Environment"
St George Day Festival,3248,"Public Art,Social Justice,Environment"
St George Day Festival,3248,"Safer streets,Public Health,Public Art,Placemaking,TU,Social Justice,Neighbors working together,Schools"
H.E.A.L.T.H for Youths Community Gardening and Outreach Project,27499,"Placemaking,Neighbors working together,Environment"
Staten Island OutLOUD In the Parks,1820,"Social Justice,Neighbors working together,Environment"
LEDing the Lighting Future of NYC Sustainable Schools,3341,"Social Justice,Schools,Environment"
Barnett Avenue Garden and Compost Area Expansion,1304,"food,Public Health,Social Justice,Neighbors working together,Environment"
A Bike Story: Bike Jewelry Making,7450,"Safer streets,Neighbors working together,Schools"
Third Thursdays in Bliss Plaza,19876,"Placemaking,Neighbors working together,Environment"
Memory Lane,12576,"Public Health,Social Justice,Environment"
Community Playground,5470,"Placemaking,Social Justice"
Rain Garden,19147,"food,Schools,Environment"
Telluride Grown,8265,"food,Placemaking,Neighbors working together,Schools,Environment"
One World Flower Fest,22136,"Public Art,Placemaking,Neighbors working together,Environment"
The Garden at Sentara Princess Anne - Phase 1,18601,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Environmental Club 2014-2014,18960,"Neighbors working together,Schools,Environment"
The Youth Internship Program,5719,"food,Public Health,Social Justice,Environment"
Know Your Fitness DC,18560,"Public Health,Social Justice,Neighbors working together,Sharing,Environment"
Edgewood Commons Food Pantry,23922,"food,Neighbors working together,Environment"
Bread for the City's Southeast Center Rooftop Garden,5417,"food,Public Health,Social Justice,Environment"
West Haven Community Garden,8931,"food,Placemaking,Neighbors working together,Environment"
Blendon Township Community Gardens,12705,"food,Public Health,Social Justice,Neighbors working together,Environment"
Banish the Bead!,18954,"Public Health,Neighbors working together,Schools,Environment"
Dry Pond Neighborhood - KaBOOM! Playground,23441,"Safer streets,Placemaking,Neighbors working together,Environment"
Nourishing Cities,2209,"food,Social Justice,Environment"
"""POW!"" The Biking Public Project",3489,"Safer streets,Public Art,Social Justice"
Street Tree Guard Building Clinic,640,"Neighbors working together,Environment"
New Leaf Workers' Cooperative,2172,"Public Health,Social Justice,Neighbors working together,Environment"
The Ladies Program,2259,"Safer streets,Public Health,TU,Social Justice,Neighbors working together,Environment"
Urban Paradise Guild Garden Centers,9816,"Safer streets,TU,Social Justice,Sharing,Citizen Science"
Parks & People 30th Anniversary Volunteer Day,12655,"Neighbors working together,Environment"
Southern Tier Solar Works,12824,Environment
TimelyTrip,#N/A,"Safer streets,Placemaking,TU,Neighbors working together,Environment"
9x18,15869,"Social Justice,Environment"
Save AlaskaŠ—Ès Wild Salmon Š—” with the Power of Music!,#N/A,"Public Art,Environment"
Rides to Transform Communities,18913,"Safer streets,Neighbors working together,Environment"
Tea M.I.,20248,"food,Environment"
The Black Hills Unity Concert,23947,"Social Justice,Environment"
Mastering Motherhood Outdoor Workshop,23950,"Social Justice,Neighbors working together,Environment"
Historic Meridian Park,24006,"Placemaking,Social Justice,Neighbors working together,Environment"
Northside Apprenticeship Program,24104,"Social Justice,Neighbors working together,Sharing,Environment"
